Date,Hour,Excluded,Total,Flights,Booths,AvgWtTime
5/1/2017,0000 - 0100,14,424,3,11,16
5/1/2017,0200 - 0300,3,140,1,5,6
5/1/2017,0600 - 0700,6,173,1,12,10
5/1/2017,0700 - 0800,11,340,1,12,22
5/1/2017,0800 - 0900,12,422,2,11,10
5/1/2017,0900 - 1000,17,531,3,13,40
5/1/2017,1000 - 1100,15,414,4,13,34
5/1/2017,1100 - 1200,24,693,5,20,33
5/1/2017,1200 - 1300,18,385,2,18,23
5/1/2017,1300 - 1400,96,2104,10,24,20
5/1/2017,1400 - 1500,76,1790,8,22,21
5/1/2017,1500 - 1600,47,1247,7,28,26
5/1/2017,1600 - 1700,37,1107,5,23,18
5/1/2017,1700 - 1800,38,1089,6,19,11
5/1/2017,1800 - 1900,40,1203,7,19,11
5/1/2017,1900 - 2000,35,973,5,20,17
5/1/2017,2000 - 2100,20,494,2,18,12
5/1/2017,2300 - 0000,10,231,2,8,8
5/2/2017,0000 - 0100,15,319,2,9,19
5/2/2017,0600 - 0700,6,161,1,11,5
5/2/2017,0700 - 0800,14,341,2,13,19
5/2/2017,0800 - 0900,15,370,2,10,11
5/2/2017,0900 - 1000,19,447,2,13,36
5/2/2017,1000 - 1100,18,385,4,12,16
5/2/2017,1100 - 1200,11,407,3,14,9
5/2/2017,1300 - 1400,72,1898,10,30,13
5/2/2017,1400 - 1500,63,1504,8,25,12
5/2/2017,1500 - 1600,68,1569,8,29,19
5/2/2017,1600 - 1700,40,762,4,21,18
5/2/2017,1700 - 1800,61,1189,7,22,13
5/2/2017,1800 - 1900,32,992,6,25,11
5/2/2017,1900 - 2000,19,684,3,21,7
5/2/2017,2000 - 2100,13,357,2,10,14
5/2/2017,2300 - 0000,17,319,2,9,15
5/3/2017,0000 - 0100,16,400,3,10,16
5/3/2017,0600 - 0700,4,157,1,13,6
5/3/2017,0700 - 0800,15,334,1,13,22
5/3/2017,0800 - 0900,7,223,1,10,10
5/3/2017,0900 - 1000,61,899,5,14,34
5/3/2017,1000 - 1100,13,233,3,13,27
5/3/2017,1100 - 1200,19,456,3,17,20
5/3/2017,1200 - 1300,16,471,4,18,16
5/3/2017,1300 - 1400,82,1618,8,22,15
5/3/2017,1400 - 1500,88,1790,10,25,15
5/3/2017,1500 - 1600,46,1544,8,20,20
5/3/2017,1600 - 1700,8,250,2,19,17
5/3/2017,1700 - 1800,90,1648,11,19,12
5/3/2017,1800 - 1900,39,1059,6,11,12
5/3/2017,1900 - 2000,37,1090,6,17,13
5/3/2017,2000 - 2100,9,232,1,9,33
5/3/2017,2200 - 2300,13,267,2,7,25
5/4/2017,0000 - 0100,18,414,3,10,26
5/4/2017,0700 - 0800,5,218,1,14,6
5/4/2017,0800 - 0900,6,202,1,13,8
5/4/2017,0900 - 1000,15,521,3,14,16
5/4/2017,1000 - 1100,28,620,5,11,12
5/4/2017,1100 - 1200,11,327,2,22,16
5/4/2017,1200 - 1300,78,1182,6,27,13
5/4/2017,1300 - 1400,38,1151,6,28,17
5/4/2017,1400 - 1500,89,1733,10,22,15
5/4/2017,1500 - 1600,111,2147,11,31,31
5/4/2017,1600 - 1700,20,539,3,18,22
5/4/2017,1700 - 1800,40,1239,8,22,13
5/4/2017,1800 - 1900,42,1037,6,24,14
5/4/2017,1900 - 2000,42,1102,7,24,13
5/4/2017,2200 - 2300,5,135,1,7,23
5/4/2017,2300 - 0000,6,134,1,9,10
5/5/2017,0000 - 0100,14,250,2,8,17
5/5/2017,0100 - 0200,7,149,1,9,10
5/5/2017,0500 - 0600,4,153,1,8,14
5/5/2017,0600 - 0700,5,268,1,16,7
5/5/2017,0700 - 0800,9,343,1,16,20
5/5/2017,0800 - 0900,13,436,2,14,7
5/5/2017,0900 - 1000,13,253,1,13,10
5/5/2017,1000 - 1100,29,677,5,13,7
5/5/2017,1100 - 1200,25,669,3,14,18
5/5/2017,1200 - 1300,75,1627,9,29,19
5/5/2017,1300 - 1400,45,984,4,24,11
5/5/2017,1400 - 1500,86,2215,10,26,23
5/5/2017,1500 - 1600,71,1976,9,31,43
5/5/2017,1600 - 1700,26,623,4,22,20
5/5/2017,1700 - 1800,39,1160,6,22,17
5/5/2017,1800 - 1900,41,879,5,18,10
5/5/2017,1900 - 2000,46,1383,6,27,17
5/5/2017,2100 - 2200,9,284,1,11,22
5/5/2017,2300 - 0000,10,241,2,8,14
5/6/2017,0000 - 0100,7,254,2,6,20
5/6/2017,0100 - 0200,3,115,1,6,32
5/6/2017,0400 - 0500,4,159,1,7,5
5/6/2017,0500 - 0600,4,144,1,7,11
5/6/2017,0600 - 0700,8,250,1,12,11
5/6/2017,0700 - 0800,10,325,1,10,23
5/6/2017,0800 - 0900,6,202,1,8,9
5/6/2017,0900 - 1000,21,620,3,10,20
5/6/2017,1000 - 1100,24,581,4,11,18
5/6/2017,1100 - 1200,17,524,3,12,12
5/6/2017,1200 - 1300,38,1065,5,32,14
5/6/2017,1300 - 1400,66,2132,9,29,13
5/6/2017,1400 - 1500,46,1259,7,28,14
5/6/2017,1500 - 1600,69,1891,10,32,15
5/6/2017,1600 - 1700,41,1057,6,28,15
5/6/2017,1700 - 1800,74,1978,10,34,13
5/6/2017,1800 - 1900,83,2118,12,23,14
5/6/2017,1900 - 2000,43,1036,5,20,10
5/6/2017,2300 - 0000,13,410,3,9,13
5/7/2017,0000 - 0100,5,140,1,11,15
5/7/2017,0100 - 0200,5,176,1,10,11
5/7/2017,0300 - 0400,3,84,1,7,12
5/7/2017,0400 - 0500,3,95,1,6,9
5/7/2017,0500 - 0600,5,145,1,11,10
5/7/2017,0600 - 0700,6,265,1,12,10
5/7/2017,0700 - 0800,11,338,1,15,25
5/7/2017,0800 - 0900,6,225,1,7,11
5/7/2017,0900 - 1000,31,723,4,10,22
